School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Fitchburg State College,State,Northeastern,MA,-71.789354,42.58934514,42400,72600,43300,56100,99600,151000,Business Management,Nursing,Film,Biology,Psychology
Florida Atlantic University (FAU),State,Southern,FL,-80.102978,26.37242138,42600,71100,40700,53000,99500,137000,Psychology,Biology,Criminal Justice,Business Management,Accounting
Florida International University (FIU),State,Southern,FL,-80.377591,25.75711094,43200,75500,40500,55800,98200,136000,Psychology,Communications,Biology,Hospitality & Tourism,Finance
Florida Metropolitan University (FMU),Private,Southern,FL,-80.11431,26.13869,36600,51000,32800,36800,70400,102000,Accounting,Business Management,Criminal Justice,Computer Science,International Relations
Florida State University (FSU),Party,Southern,FL,-84.301554,30.443222,42100,73000,39600,52800,107000,156000,Psychology,Finance,Marketing,Criminal Justice,English
Fordham University,Private,Northeastern,NY,-73.889899,40.8614117,47800,99900,48600,65900,142000,198000,Communications,Economics,Business Management,Finance,Psychology
Fort Lewis College,Liberal Arts,Western,CO,-107.867003,37.27542817,42000,69800,,55000,94000,,Business Management,Nutrition,Biology,Psychology,Art History
Franklin and Marshall College,Liberal Arts,Northeastern,PA,-76.319037,40.048045,49100,92800,,55800,185000,,Business Management,Political Science,Economics,Psychology,Biology
George Mason University,State,Southern,VA,-77.30794,38.83088029,47800,86900,51300,67200,114000,150000,Psychology,Criminal Justice,Accounting,Information Technology (IT),Biology
George Washington University (GWU),Private,Southern,DC,-77.046277,38.8990964,47000,97900,48400,69600,132000,194000,International Relations,Political Science,Nursing,Economics,Finance
Georgetown University,Private,Southern,DC,-77.073463,38.90880927,55000,110000,60300,85800,174000,248000,Political Science,International Relations,Finance,Economics,Psychology
Georgia Institute of Technology,Engineering,Southern,GA,-84.396019,33.77373183,58300,106000,67200,85200,137000,183000,Information Technology (IT),Mechanical Engineering,Business Management,Industrial Engineering,Chemical Engineering
Georgia State University,State,Southern,GA,-84.38667,33.75269954,41800,74000,43000,55300,99900,145000,Psychology,Finance,Biology,Marketing,Journalism
Gettysburg College,Liberal Arts,Northeastern,PA,-77.234533,39.83584149,44700,85800,,66300,132000,,Economics,Political Science,Business Management,Nutrition,Psychology
Gonzaga University,Private,Western,WA,-117.403062,47.668144,44900,76000,47000,57400,103000,138000,Business Management,Biology,Mechanical Engineering,Psychology,Accounting
