School Name,1st,2nd,3rd,4th,5th
University of Mississippi,Nursing,Accounting,Marketing,Finance,Communications
Lamar University,Nursing,Business Management,Criminal Justice,Mechanical Engineering,Chemical Engineering
Mississippi State University (MSU),Nutrition,Business Management,Mechanical Engineering ,Communications,Marketing
University of Kentucky (UK),Marketing,Business Management,Nursing,Psychology,Finance
Texas Christian University (TCU),Nursing,Communications,Finance,Economics,Marketing
West Virginia University (WVU),Journalism,Sociology,Psychology,Nursing,Education
University of Maryland Baltimore County (UMBC),Biology,Psychology,Information Technology (IT),Computer Science,Economics
University of Louisiana (UL) at Lafayette,Nursing,Education,Business Management,Biology,Psychology
Florida International University (FIU),Psychology,Communications,Biology,Hospitality & Tourism,Finance
University of Tennessee,Psychology,Nutrition,Biology,Nursing,Marketing
University of Arkansas - Monticello (UAM),Nursing,Education,Construction,Business Management,Management Information Systems (MIS)
University of North Carolina at Charlotte (UNCC),Psychology,Communications,Computer Science,Finance,Nursing
Georgia State University,Psychology,Finance,Biology,Marketing,Journalism
LeTourneau University,Business Management,Education,Mechanical Engineering ,Aerospace Engineering,Civil Engineering
Florida State University (FSU),Psychology,Finance,Marketing,Criminal Justice,English
University of Texas at El Paso (UTEP),Nursing,Criminal Justice,Biology,Psychology,Nutrition
University of Central Florida (UCF),Psychology,Hospitality & Tourism,Health Care Administration,Nursing,Business Management 
University of South Carolina,Finance,Marketing,Business Management,Nutrition,Management Information Systems (MIS)
Florida Atlantic University (FAU),Psychology,Biology,Criminal Justice,Business Management,Accounting
University of South Florida (USF),Health Care Administration,Biology,Nursing,Communications,Psychology
University of Texas at San Antonio (UTSA),Psychology,Biology,Nutrition,Criminal Justice,Communications
University of Alabama at Birmingham (UAB),Nursing,Business Management,Psychology,Health Care Administration,Biology
University of Memphis (U of M),Nursing,Nutrition,Psychology,Criminal Justice,Accounting
Appalachian State University,Psychology,Nutrition,Nursing,Business Management,Education
Virginia Commonwealth University (VCU),Psychology,Business Management,Biology,Education,Communications
East Carolina University (ECU),Communications,Nursing,Education,Business Management,Criminal Justice
Western Carolina University,Nursing,Criminal Justice,Business Management,Marketing,Psychology
Jacksonville University,Nursing,Nutrition,Management Information Systems (MIS),Business Management,Sociology
University of North Carolina at Wilmington (UNCW),Business Management,Nursing,Psychology,Biology,Communications
Oklahoma City University,Nursing,Music,Drama,Film,Business Management
Arkansas State University (ASU),Nursing,Business Management,Biology,Education,Nutrition
Tarleton State University (TSU),Business Management,Nursing,Psychology,Nutrition,Agriculture
Morehead State University,Nursing,Education,Business Management,Agriculture,Accounting
Mississippi College,Nursing,Biology,Nutrition,Accounting,Education
Dallas Baptist University,Business Management,Biology,Psychology,Education,Finance
Austin Peay State University,Education,Nursing,Criminal Justice,Psychology,Business Management
Saint Leo University,Business Management,Criminal Justice,Psychology,Health Care Administration,Accounting
Tusculum College,Business Management,Psychology,Nursing,Nutrition,Education
Virginia Wesleyan College (VWC),Business Management,Criminal Justice,Biology,Psychology,Communications
"Lee University (Cleveland, TN)",Business Management,Psychology,Religion,Nutrition,Communications
Florida Metropolitan University (FMU),Accounting,Business Management,Criminal Justice,Computer Science,International Relations
Dartmouth College,Economics,Political Science,Computer Science,Biology,History
Princeton University,Computer Engineering,Economics,History,Political Science,Biology
Massachusetts Institute of Technology (MIT),Computer Science,Mechanical Engineering,Math,Physics,Electrical Engineering
Yale University,Economics,History,Political Science,Biology,English
Harvard University,Economics,Computer Science,Political Science,History,Sociology
University of Pennsylvania,Finance,Economics,Nursing,Business Management,Philosophy
"Polytechnic University of New York, Brooklyn",Mechanical Engineering,Electrical Engineering,Computer Science,Physics,Chemical Engineering
Cooper Union,Graphic Design,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Architecture
Worcester Polytechnic Institute (WPI),Mechanical Engineering,Computer Science,Chemical Engineering,Electrical Engineering,Aerospace Engineering
Carnegie Mellon University (CMU),Computer Science,Electrical Engineering,Math,Business Management,Mechanical Engineering
Rensselaer Polytechnic Institute (RPI),Computer Science,Mechanical Engineering,Chemical Engineering,Electrical Engineering,Business Management
Cornell University,Biology,Computer Science,Business Management,Hospitality & Tourism,Agriculture
Bucknell University,Economics,Political Science,Psychology,Accounting,Biology
Brown University,Computer Science,Economics,Biology,Math,Political Science
Colgate University,Economics,Political Science,Psychology,English,Biology
Columbia University,Economics,Computer Science,Political Science,Psychology,History
Amherst College,Math,Economics,English,Psychology,Political Science
Lafayette College,Economics,Political Science,Mechanical Engineering,Psychology,International Relations
Bowdoin College,Political Science,Economics,Math,Biology,Computer Science
College of the Holy Cross,Economics,Psychology,Political Science,History,English
Stevens Institute of Technology,Mechanical Engineering,Computer Science,Business Management,Chemical Engineering,Civil Engineering
Lehigh University,Finance,Mechanical Engineering,Computer Science,Accounting,Marketing
Swarthmore College,Economics,Political Science,Biology,Math,Education
Boston College,Economics,Finance,Psychology,Communications,Biology
Williams College,Economics,Math,Biology,Political Science,History
Villanova University,Finance,Nursing,Communications,Economics,Management Information Systems (MIS)
Fordham University,Communications,Economics,Business Management,Finance,Psychology
"Wesleyan University (Middletown, Connecticut)",Economics,Psychology,English,Political Science,Biology
Wentworth Institute of Technology,Mechanical Engineering,Construction,Architecture,Computer Science,Business Management
Bates College,Economics,Political Science,Psychology,Biology,Sociology
Binghamton University,Economics,Psychology,Biology,Accounting,Nursing
Union College,Economics,Biology,Mechanical Engineering,Political Science,Psychology
New York University (NYU),Economics,Business Management,Nursing,Film,Drama
Vassar College,Political Science,Economics,Psychology,Biology,English
Middlebury College,Economics,Political Science,Computer Science,Psychology,International Relations
Mount Holyoke College,Economics,Computer Science,Biology,Psychology,English
Boston University,Business Management,Communications,Economics,Psychology,International Relations
Drexel University,Nursing,Accounting,Mechanical Engineering,Marketing,Management Information Systems (MIS)
"St. John's University, New York",Biology,Communications,Finance,Criminal Justice,Physician Assistant
Long Island University,Nursing,Business Management,Nutrition,Psychology,Biology
Stony Brook University,Nutrition,Psychology,Business Management,Math,Biology
Franklin and Marshall College,Business Management,Political Science,Economics,Psychology,Biology
Hofstra University,Drama,Psychology,Marketing,Business Management,Finance
State University of New York (SUNY) at Albany,Biology,Psychology,Business Management,Economics,English
Rutgers University,Information Technology (IT),Psychology,Economics,Biology,Nursing
Pratt Institute,Architecture,Graphic Design,Interior Design,Art History,Film
Pace University,Business Management,Nursing,Communications,Finance,Accounting
Seton Hall University,Biology,Nursing,Marketing,Finance,International Relations
