School Name,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Providence College,RI,-71.437906,41.84419284,"$48,000 ","$88,600 ","$42,800 ","$62,900 ","$138,000 ","$194,000 ",Business Management,Mechanical Engineering,Computer Science,Industrial Engineering,Math
Purdue University,IN,-86.914435,40.428206,"$51,400 ","$90,500 ","$49,900 ","$67,400 ","$121,000 ","$168,000 ",Health Care Administration,Nursing,Business Management,Finance,Psychology
Quinnipiac University,CT,-72.894115,41.41890787,"$43,000 ","$76,500 ","$47,900 ","$57,400 ","$117,000 ","$155,000 ",Business Management,Biology,Communications,Psychology,Political Science 
Randolph-Macon College,VA,-77.4781,37.76078507,"$42,600 ","$83,600 ",,"$54,100 ","$123,000 ",,Psychology,Biology,English,Physics ,History
Reed College,OR,-122.630348,45.48095914,"$40,500 ","$81,100 ",,"$67,400 ","$101,000 ",,Nursing,Business Management,Computer Science,Accounting,Communications
Regis University,CO,-105.030756,39.78817522,"$48,300 ","$73,800 ","$41,000 ","$55,500 ","$94,800 ","$117,000 ",Computer Science,Mechanical Engineering,Chemical Engineering,Electrical Engineering,Business Management
Rensselaer Polytechnic Institute (RPI),NY,-73.678768,42.72898349,"$61,100 ","$110,000 ","$71,600 ","$85,500 ","$140,000 ","$182,000 ",Economics,Information Technology (IT),Chemical Engineering,Nutrition,Mechanical Engineering 
Rice University,TX,-95.404977,29.71621847,"$64,000 ","$110,000 ","$55,900 ","$82,100 ","$141,000 ","$216,000 ",Business Management,Psychology,Accounting,Education,Finance
Rider University,NJ,-74.736978,40.28049488,"$43,600 ","$88,900 ","$47,100 ","$63,100 ","$127,000 ","$150,000 ",Nursing,Accounting,Business Management,Computer Science,Finance
Robert Morris College (RMC),PA,-80.211585,40.52067902,"$38,500 ","$68,200 ","$37,300 ","$47,100 ","$95,000 ","$128,000 ",Mechanical Engineering,Computer Science,Electrical Engineering,Computer Engineering,Civil Engineering
Rochester Institute of Technology (RIT),NY,-77.673854,43.08443583,"$48,900 ","$84,600 ","$45,000 ","$62,100 ","$112,000 ","$159,000 ",Criminal Justice,Marketing,Psychology,Architecture,Business Management
Roger Williams University,RI,-71.260561,41.64820868,"$42,000 ","$72,300 ","$39,800 ","$48,500 ","$102,000 ","$138,000 ",Information Technology (IT),Psychology,Economics,Biology,Nursing
Rutgers University,NJ,-74.447007,40.49953534,"$50,300 ","$91,800 ","$48,100 ","$65,100 ","$128,000 ","$176,000 ",Nursing,Business Management,Marketing,Psychology,Finance
Sacred Heart University,CT,-73.24461,41.22154751,"$46,000 ","$75,300 ","$39,700 ","$54,800 ","$105,000 ","$150,000 ",Business Management,Criminal Justice,Psychology,Health Care Administration,Accounting
Saint Leo University,FL,-82.257794,28.33678314,"$40,900 ","$57,800 ","$34,400 ","$41,800 ","$80,600 ","$113,000 ",Business Management,Psychology,Education,Criminal Justice,Communications
San Diego State University (SDSU),CA,-117.071228,32.7752498,"$46,200 ","$85,200 ","$45,500 ","$61,800 ","$116,000 ","$158,000 ",Business Management,Biology,Psychology,Communications,Criminal Justice
San Francisco State University (SFSU),CA,-122.477905,37.72134502,"$47,300 ","$86,400 ","$45,100 ","$62,700 ","$114,000 ","$150,000 ",Business Management,Psychology,Education,Communications,Computer Science 
San Jose State University (SJSU),CA,-121.880459,37.33750869,"$53,500 ","$95,600 ","$50,700 ","$70,500 ","$122,000 ","$156,000 ",Nursing,Finance,Marketing,Psychology,Accounting
Seattle University,WA,-122.3197,47.6101379,"$48,300 ","$82,800 ","$50,600 ","$62,400 ","$110,000 ","$150,000 ",Biology,Nursing,Marketing,Finance,International Relations
Seton Hall University,NJ,-74.248753,40.74285935,"$48,900 ","$89,200 ","$55,700 ","$70,600 ","$133,000 ","$195,000 ",Marketing,Accounting,Psychology,Finance,Biology
Siena College,NY,-73.751027,42.71862178,"$45,500 ","$85,200 ","$38,700 ","$58,400 ","$129,000 ","$189,000 ",Business Management,English,Psychology,Political Science,Economics
Skidmore College,NY,-73.785322,43.09702687,"$41,600 ","$74,600 ",,"$42,800 ","$147,000 ",,Political Science,Psychology,Economics,Biology,English
Smith College,MA,-72.638094,42.317933,"$44,000 ","$83,900 ","$45,100 ","$59,800 ","$129,000 ","$184,000 ",Mechanical Engineering,Civil Engineering,Chemical Engineering,Industrial Engineering,Electrical Engineering
South Dakota School of Mines & Technology,SD,-103.205753,44.07543935,"$55,800 ","$93,400 ","$71,500 ","$81,900 ","$122,000 ","$147,000 ",Business Management,Psychology,Education,Criminal Justice,Communications
South Dakota State University (SDSU),SD,-96.783415,44.31942,"$41,100 ","$73,500 ","$34,100 ","$49,900 ","$99,400 ","$129,000 ",Nursing,Business Management,Psychology,Biology,Criminal Justice
Southern Illinois University Carbondale,IL,-89.221214,37.717389,"$43,000 ","$72,500 ","$38,300 ","$51,300 ","$99,300 ","$139,000 ",Education,Nursing,Biology,Psychology,Accounting
Southern Utah University,UT,-113.070146,37.674617,"$41,900 ","$56,500 ",,"$39,700 ","$78,400 ",,Communications,Business Management,Marketing,Finance,Criminal Justice
St. Cloud State University,MN,-94.152657,45.5532272,"$41,800 ","$71,400 ","$38,700 ","$49,400 ","$101,000 ","$126,000 ",Biology,Communications,Finance,Criminal Justice,Physician Assistant
"St. John's University, New York",NY,-73.795027,40.72202659,"$48,000 ","$93,400 ","$48,000 ","$65,400 ","$124,000 ","$181,000 ",Biology,Math,Economics,Psychology,Chemistry 
St. Olaf College,MN,-93.183318,44.46195598,"$45,300 ","$86,200 ","$41,300 ","$61,000 ","$120,000 ","$185,000 ",Computer Science,Biology,Mechanical Engineering ,Economics,Psychology
Stanford University,CA,-122.175045,37.4329738,"$70,400 ","$129,000 ","$68,400 ","$93,100 ","$184,000 ","$257,000 ",Biology,Psychology,Business Management,Economics,English
State University of New York (SUNY) at Albany,NY,-73.825014,42.68691742,"$44,500 ","$92,200 ","$47,000 ","$63,100 ","$135,000 ","$209,000 ",Business Management,Psychology,Sociology,Communications,Mechanical Engineering
State University of New York (SUNY) at Buffalo,NY,-78.880684,42.93369956,"$46,200 ","$81,700 ","$45,900 ","$61,400 ","$110,000 ","$147,000 ",Business Management,Criminal Justice,Computer Science,Nursing,Biology
State University of New York (SUNY) at Farmingdale,NY,-73.4267,40.753,"$47,300 ","$84,200 ","$50,200 ","$59,800 ","$110,000 ","$162,000 ",Business Management,Psychology,Criminal Justice,International Relations,Information Technology (IT)
State University of New York (SUNY) at Fredonia,NY,-79.3404,42.4539,"$37,800 ","$66,200 ","$32,800 ","$44,200 ","$93,300 ","$181,000 ",Psychology,Biology,Communications,Business Management,Accounting
State University of New York (SUNY) at Geneseo,NY,-77.821999,42.79686373,"$42,300 ","$81,300 ","$39,300 ","$47,600 ","$117,000 ","$173,000 ",Communications,Economics,Psychology,Biology,Education
State University of New York (SUNY) at Oneonta,NY,-75.064,42.4695,"$37,500 ","$76,700 ","$40,000 ","$54,300 ","$97,700 ","$155,000 ",Business Management,Psychology,Drama,Education,Marketing
State University of New York (SUNY) at Oswego,NY,-76.543885,43.45377044,"$38,000 ","$77,800 ","$40,400 ","$53,000 ","$115,000 ","$169,000 ",Business Management,Psychology,Criminal Justice,Nursing,Communications
State University of New York (SUNY) at Plattsburgh,NY,-73.466657,44.69308772,"$40,800 ","$76,200 ","$38,400 ","$54,100 ","$105,000 ","$136,000 ",Business Management,Psychology,Education,Biology,Communications
State University of New York (SUNY) at Potsdam,NY,-74.976889,44.662862,"$38,000 ","$70,300 ","$35,100 ","$51,200 ","$100,000 ","$179,000 ",Mechanical Engineering,Computer Science,Business Management,Chemical Engineering,Civil Engineering
Stevens Institute of Technology,NJ,-74.025334,40.744776,"$60,600 ","$105,000 ","$68,700 ","$81,900 ","$138,000 ","$185,000 ",Nutrition,Psychology,Business Management,Math,Biology
Stony Brook University,NY,-73.12112,40.91554,"$49,500 ","$93,000 ","$47,200 ","$67,100 ","$129,000 ","$181,000 ",Finance,Marketing,Business Management,Communications,Accounting
Suffolk University,MA,-71.060985,42.35801021,"$42,100 ","$74,000 ","$48,700 ","$57,800 ","$95,100 ","$145,000 ",Economics,Political Science,Biology,Math,Education
Swarthmore College,PA,-75.351639,39.90598596,"$49,700 ","$104,000 ",,"$67,200 ","$167,000 ",,Information Technology (IT),Psychology,Economics,Finance,Drama
Syracuse University,NY,-76.13267,43.039891,"$45,700 ","$85,900 ","$46,400 ","$59,400 ","$119,000 ","$178,000 ",Business Management,Nursing,Psychology,Nutrition,Agriculture
Tarleton State University (TSU),TX,-98.22008,32.21566501,"$40,800 ","$62,400 ","$32,100 ","$47,400 ","$80,400 ","$126,000 ",Mechanical Engineering,Education,Business Management,Nursing,Education
Tennessee Technological University,TN,-85.503957,36.17465917,"$46,200 ","$80,000 ","$42,100 ","$62,600 ","$99,500 ","$121,000 ",Agriculture,Nutrition,Psychology,Biology,Business Management 
Texas A&M University,TX,-97.774883,31.0531369,"$49,700 ","$96,100 ","$51,100 ","$71,300 ","$131,000 ","$171,000 ",Nursing,Communications,Finance,Economics,Marketing
Texas Christian University (TCU),TX,-97.361537,32.70956756,"$45,100 ","$78,100 ","$42,600 ","$56,600 ","$122,000 ","$183,000 ",Criminal Justice,Psychology,Business Management,Education,Biology
Thomas Aquinas College,CA,-119.087141,34.429009,"$41,500 ","$67,500 ",,"$44,600 ","$93,100 ",,Finance,Business Management,Marketing,Health Care Administration,Economics
Tulane University,LA,-90.120409,29.93969617,"$49,100 ","$95,800 ","$46,500 ","$64,400 ","$134,000 ","$185,000 ",Business Management,Psychology,Nursing,Nutrition,Education
Tusculum College,TN,-82.761716,36.17255833,"$36,900 ","$55,500 ","$36,200 ","$43,000 ","$87,300 ","$124,000 ",Economics,Biology,Mechanical Engineering,Political Science,Psychology
Union College,KY,-83.887768,36.86913017,"$47,200 ","$95,800 ","$48,700 ","$75,200 ","$135,000 ","$230,000 ",Economics,Math,Biology,International Relations,Political Science 
University of Akron,OH,-81.5114,41.077,"$41,100 ","$70,300 ","$40,600 ","$53,300 ","$95,200 ","$127,000 ",Business Management,Psychology,Marketing,Nursing,Finance
University of Alabama at Birmingham (UAB),AL,-86.80917,33.50223,"$39,200 ","$70,100 ","$43,000 ","$53,400 ","$91,400 ","$125,000 ",Nursing,Business Management,Mechanical Engineering ,Psychology,Marketing
University of Alabama at Huntsville (UAH),AL,-86.6398,34.7251,"$43,100 ","$82,700 ","$46,100 ","$67,800 ","$106,000 ","$132,000 ",Nursing,Business Management,Psychology,Health Care Administration,Biology
"University of Alabama, Tuscaloosa",AL,-87.5391,33.214,"$41,300 ","$81,400 ","$40,100 ","$56,500 ","$117,000 ","$161,000 ",Nursing,Mechanical Engineering,Business Management,Information Technology (IT),Accounting
"University of Alaska, Anchorage",AK,-149.8196,61.191,"$45,900 ","$72,600 ","$39,800 ","$56,600 ","$99,300 ","$137,000 ",Finance,Business Management,Marketing,Nursing,Accounting
University of Arizona,AZ,-110.950086,32.23286613,"$47,500 ","$86,100 ","$44,800 ","$61,700 ","$117,000 ","$160,000 ",Nursing,Accounting,Psychology,Business Management,Mechanical Engineering 
University of Arkansas,AR,-94.177852,36.06564171,"$44,100 ","$82,800 ","$43,200 ","$60,700 ","$113,000 ","$160,000 ",Psychology,Biology,Communications,Health Care Administration,Economics
University of Arkansas - Monticello (UAM),AR,-91.8136,33.5918,"$39,200 ","$74,500 ",,"$46,100 ","$110,000 ",,Nursing,Finance,Marketing,Biology,Education
University of California at Los Angeles (UCLA),CA,-118.443901,34.0688923,"$52,600 ","$101,000 ","$51,300 ","$72,500 ","$139,000 ","$193,000 ",Nursing,Education,Construction,Business Management,Management Information Systems (MIS)
"University of California, Berkeley",CA,-122.24851,37.875759,"$59,900 ","$112,000 ","$59,500 ","$81,000 ","$149,000 ","$201,000 ",Economics,Political Science,Sociology,Biology,Psychology
"University of California, Davis",CA,-121.75103,38.53820558,"$52,300 ","$99,600 ","$52,000 ","$71,600 ","$135,000 ","$202,000 ",Economics,Computer Science ,Biology,Political Science,Business Management 
"University of California, Irvine (UCI)",CA,-117.837785,33.643163,"$48,300 ","$96,700 ","$47,800 ","$66,000 ","$123,000 ","$172,000 ",Psychology,Economics,Computer Science,Communications,Biology
"University of California, Riverside (UCR)",CA,-117.328766,33.9745475,"$46,800 ","$81,300 ","$37,200 ","$59,900 ","$109,000 ","$134,000 ",Psychology,Biology,Computer Science,Economics,Health Care Administration
"University of California, San Diego (UCSD)",CA,-117.237794,32.87659766,"$51,100 ","$101,000 ","$51,700 ","$75,400 ","$131,000 ","$177,000 ",Business Management,Biology,Psychology,Sociology,Economics
"University of California, Santa Barbara (UCSB)",CA,-119.851493,34.412344,"$50,500 ","$95,000 ","$51,300 ","$71,200 ","$129,000 ","$173,000 ",Computer Science,Economics,Biology,Math,Psychology
"University of California, Santa Cruz (UCSC)",CA,-122.060726,36.99901842,"$44,700 ","$84,100 ","$46,100 ","$62,000 ","$121,000 ","$165,000 ",Sociology,Economics,Psychology,Communications,International Relations
University of Central Florida (UCF),FL,-81.200889,28.60215943,"$42,600 ","$71,700 ","$39,500 ","$51,500 ","$98,400 ","$125,000 ",Computer Science,Psychology,Economics,Sociology,Biology
University Of Chicago,IL,-87.600922,41.79014558,"$53,400 ","$113,000 ","$62,200 ","$83,300 ","$174,000 ","$255,000 ",Psychology,Hospitality & Tourism,Health Care Administration,Nursing,Business Management 
University of Colorado - Boulder (UCB),CO,-105.267061,40.00441507,"$47,100 ","$97,600 ","$51,600 ","$69,000 ","$128,000 ","$187,000 ",Economics,Computer Science ,Biology,Political Science,Business Management 
University of Colorado - Denver,CO,-104.839345,39.74521411,"$46,100 ","$84,400 ","$46,400 ","$58,600 ","$105,000 ","$144,000 ",Business Management,Nursing,Biology,Economics,Psychology
University of Connecticut (UConn),CT,-72.256961,41.807658,"$48,000 ","$88,800 ","$46,100 ","$66,400 ","$120,000 ","$162,000 ",Psychology,Economics,Communications,Biology,Nursing
University of Delaware,DE,-75.752833,39.678028,"$45,900 ","$84,500 ","$44,500 ","$64,000 ","$119,000 ","$165,000 ",Finance,Marketing,Nursing,Nutrition,Psychology
University of Florida (UF),FL,-82.361195,29.638248,"$47,100 ","$87,900 ","$45,400 ","$62,900 ","$120,000 ","$172,000 ",Biology,Psychology,Mechanical Engineering ,Finance,Political Science 
University of Georgia (UGA),GA,-83.37143,33.937727,"$44,100 ","$86,000 ","$43,100 ","$57,800 ","$118,000 ","$164,000 ",Finance,Psychology,Biology,Business Management,Marketing
University of Hawaii,HI,157.8171,21.2969,"$43,800 ","$76,000 ","$40,400 ","$56,300 ","$104,000 ","$128,000 ",Nutrition,Nursing,Psychology,Communications,Business Management 
University of Houston (UH),TX,-95.344851,29.719988,"$46,000 ","$79,900 ","$42,000 ","$56,200 ","$106,000 ","$141,000 ",Psychology,Finance,Accounting,Nutrition,Biology
University of Idaho,ID,-117.024296,46.72689377,"$44,900 ","$82,000 ","$43,000 ","$56,700 ","$104,000 ","$142,000 ",Psychology,Mechanical Engineering,Marketing,Finance,Business Management 
University of Illinois at Chicago,IL,-87.650503,41.87183722,"$47,500 ","$81,700 ","$44,700 ","$58,800 ","$110,000 ","$146,000 ",Psychology,Biology,Nursing,Finance,Nutrition
University of Illinois at Urbana-Champaign (UIUC),IL,-88.228482,40.1083116,"$52,900 ","$96,100 ","$48,200 ","$68,900 ","$132,000 ","$177,000 ",Psychology,Economics,Accounting,Computer Science,Biology
University of Iowa (UI),IA,-91.535698,41.66069518,"$44,700 ","$83,900 ","$43,300 ","$61,100 ","$116,000 ","$163,000 ",Nutrition,Finance,Business Management,Psychology,Nursing
University of Kansas,KS,-95.258651,38.956474,"$42,400 ","$81,600 ","$44,800 ","$57,200 ","$115,000 ","$156,000 ",Journalism,Psychology,Finance,Nursing,Biology
University of Kentucky (UK),KY,-84.502517,38.028761,"$42,800 ","$78,300 ","$43,000 ","$57,300 ","$107,000 ","$149,000 ",Marketing,Business Management,Nursing,Psychology,Finance
University of Louisiana (UL) at Lafayette,LA,-92.0204,30.2114,"$41,100 ","$76,300 ","$42,000 ","$54,500 ","$107,000 ","$163,000 ",Nursing,Education,Business Management,Biology,Psychology
University Of Maine,ME,-68.669332,44.899257,"$41,200 ","$72,100 ","$41,700 ","$55,600 ","$99,300 ","$141,000 ",Biology,Psychology,Information Technology (IT),Computer Science,Economics
University of Maryland Baltimore County (UMBC),MD,-76.711607,39.25668589,"$47,000 ","$77,800 ","$46,900 ","$59,100 ","$105,000 ","$130,000 ",Information Technology (IT),Economics,Biology,Criminal Justice,Finance
"University of Maryland, College Park",MD,-76.939704,38.98860655,"$52,000 ","$95,000 ","$50,400 ","$68,300 ","$126,000 ","$166,000 ",Psychology,Economics,Communications,Health Care Administration,Biology
University of Massachusetts (UMass) - Amherst,MA,-72.529312,42.388647,"$46,600 ","$88,200 ","$43,100 ","$61,300 ","$122,000 ","$168,000 ",Business Management,Psychology,Biology,Education,Nursing
University of Massachusetts (UMass) - Boston,MA,-71.039814,42.31433173,"$45,600 ","$78,200 ","$36,300 ","$53,800 ","$109,000 ","$151,000 ",Nursing,Psychology,Business Management,Accounting,Criminal Justice
University of Massachusetts (UMass) - Dartmouth,MA,-71.006837,41.62899868,"$43,200 ","$77,700 ","$43,300 ","$56,200 ","$107,000 ","$132,000 ",Business Management,Criminal Justice,Information Technology (IT),Psychology,Mechanical Engineering
University of Massachusetts (UMass) - Lowell,MA,-71.325081,42.65371976,"$45,400 ","$86,600 ","$50,900 ","$65,000 ","$113,000 ","$158,000 ",Nursing,Nutrition,Psychology,Criminal Justice,Accounting
University of Memphis (U of M),TN,-89.937883,35.12207587,"$41,400 ","$69,700 ","$36,100 ","$49,100 ","$93,500 ","$127,000 ",Information Technology (IT),Business Management,Economics,Psychology,Political Science 
University of Michigan,MI,-83.736564,42.27803,"$52,700 ","$93,000 ","$50,900 ","$69,400 ","$128,000 ","$182,000 ",Psychology,Economics,Biology,Computer Science,Finance
University of Minnesota,MN,-93.2277,44.974,"$46,200 ","$84,200 ","$49,000 ","$63,200 ","$112,000 ","$148,000 ",Nursing,Accounting,Marketing,Finance,Communications
University of Mississippi,MS,-89.537169,34.36343843,"$41,400 ","$79,700 ","$40,400 ","$53,500 ","$108,000 ","$186,000 ",Business Management,Journalism,Health Care Administration,Psychology,Biology
University of Missouri - Columbia,MO,-92.326429,38.941015,"$41,700 ","$81,000 ","$43,500 ","$57,100 ","$111,000 ","$156,000 ",Business Management,Nursing,Biology,Psychology,Health Care Administration
University of Missouri - Kansas City (UMKC),MO,-94.5766,39.03372423,"$38,900 ","$65,800 ","$36,300 ","$48,100 ","$95,800 ","$124,000 ",Business Management,Journalism,Health Care Administration,Psychology,Biology
University of Missouri - Rolla (UMR),MO,-91.7756,37.9537,"$57,100 ","$95,800 ","$67,600 ","$80,400 ","$122,000 ","$166,000 ",Business Management,Nursing,Psychology,Communications,Accounting
University of Missouri - St. Louis (UMSL),MO,-90.308886,38.71129669,"$41,400 ","$67,100 ","$36,800 ","$49,600 ","$97,600 ","$144,000 ",Business Management,Psychology,Education,Sociology,Anthropology
University of Montana,MT,-113.9852,46.8601,"$37,300 ","$71,900 ","$37,000 ","$51,500 ","$96,400 ","$138,000 ",Business Management,Psychology,International Relations,Finance,Nutrition
University of Nebraska,NE,-96.7005,40.8202,"$45,700 ","$80,900 ","$42,200 ","$56,600 ","$113,000 ","$156,000 ",Criminal Justice,Psychology,Business Management,Accounting,Biology
University of Nebraska at Omaha,NE,-96.009741,41.25794626,"$41,500 ","$72,600 ","$39,500 ","$54,400 ","$97,400 ","$126,000 ",Hospitality & Tourism ,Psychology,Criminal Justice,Communications,Nutrition
"University of Nevada, Las Vegas (UNLV)",NV,-115.1432,36.1085,"$45,200 ","$71,600 ","$39,000 ","$52,400 ","$100,000 ","$128,000 ",Nutrition,Biology,Psychology,Business Management,Criminal Justice
"University of Nevada, Reno (UNR)",NV,-119.8164,39.5442,"$46,500 ","$82,900 ","$41,900 ","$54,600 ","$113,000 ","$143,000 ",Business Management,Psychology,Communications,Biology,Mechanical Engineering
University of New Hampshire (UNH),NH,-70.937,43.1389,"$41,800 ","$78,300 ","$41,700 ","$56,400 ","$114,000 ","$147,000 ",Criminal Justice,Psychology,Biology,Business Management,Communications
University of New Haven,CT,-72.961472,41.29131434,"$44,400 ","$82,900 ","$48,500 ","$66,100 ","$113,000 ","$157,000 ",Business Management,Psychology,Nursing,Biology,Criminal Justice
University of New Mexico (UNM),NM,-106.6198,35.0843,"$41,600 ","$81,600 ","$41,800 ","$59,100 ","$105,000 ","$141,000 ",Communications,Biology,Psychology,Economics,Political Science 
University of North Carolina at Chapel Hill (UNCH),NC,-79.050969,35.91216532,"$42,900 ","$81,500 ","$43,400 ","$57,500 ","$117,000 ","$155,000 ",Psychology,Communications,Computer Science,Finance,Nursing
University of North Carolina at Charlotte (UNCC),NC,-80.73579,35.30683411,"$43,100 ","$74,000 ","$38,200 ","$53,200 ","$99,500 ","$133,000 ",Business Management,Nursing,Psychology,Biology,Communications
University of North Carolina at Wilmington (UNCW),NC,-77.8696,34.2239,"$37,500 ","$64,400 ","$32,100 ","$46,600 ","$97,100 ","$129,000 ",Communications,Psychology,Nursing,Mechanical Engineering,Accounting
University of North Dakota,ND,-97.071738,47.921654,"$44,000 ","$80,600 ","$43,400 ","$56,400 ","$111,000 ","$157,000 ",Finance,Economics,Mechanical Engineering ,Political Science,Math
University of Notre Dame,IN,-86.237075,41.699587,"$56,300 ","$116,000 ","$66,400 ","$85,100 ","$163,000 ","$235,000 ",Finance,Psychology,Accounting,Journalism,Nutrition
University of Oklahoma,OK,-97.4457,35.2059,"$44,700 ","$82,900 ","$41,200 ","$60,300 ","$114,000 ","$167,000 ",Business Management,Sociology,Economics,Psychology,Marketing
University of Oregon,OR,-123.07398,44.044515,"$42,200 ","$78,400 ","$38,100 ","$56,200 ","$117,000 ","$186,000 ",Finance,Economics,Nursing,Business Management,Philosophy
University of Pennsylvania,PA,-75.193618,39.95100193,"$60,900 ","$120,000 ","$55,900 ","$79,200 ","$192,000 ","$282,000 ",Business Management,Psychology,Biology,International Relations,Political Science 
University of Puget Sound,WA,-122.481199,47.26359389,"$46,600 ","$81,500 ","$48,900 ","$60,100 ","$104,000 ","$137,000 ",Nursing,Psychology,Communications,Nutrition,Biology
University of Rhode Island (URI),RI,-71.528708,41.489334,"$43,900 ","$85,300 ","$45,400 ","$60,100 ","$112,000 ","$157,000 ",Business Management,Biology,Economics,Accounting,Psychology
University of Richmond,VA,-77.538797,37.57739933,"$48,600 ","$94,600 ","$44,500 ","$59,400 ","$151,000 ","$211,000 ",Finance,Marketing,Business Management,Nutrition,Management Information Systems (MIS)
University of South Carolina,SC,-81.0299,33.9938,"$40,000 ","$71,700 ","$36,300 ","$49,900 ","$98,400 ","$131,000 ",Health Care Administration,Biology,Nursing,Communications,Psychology
University of South Florida (USF),FL,-82.4139,28.0587,"$41,100 ","$71,100 ","$39,600 ","$51,500 ","$98,100 ","$131,000 ",Business Management,Communications,Biology,Accounting,International Relations
University of Southern California (USC),CA,-118.283858,34.021058,"$54,800 ","$99,600 ","$49,700 ","$73,800 ","$140,000 ","$201,000 ",Business Management,Psychology,Marketing,Nursing,Finance
University of Southern Maine,ME,-70.276073,43.6622514,"$39,400 ","$63,600 ","$40,400 ","$47,900 ","$85,700 ","$117,000 ",Psychology,Nutrition,Biology,Nursing,Marketing
University of Tennessee,TN,-83.9295,35.9544,"$43,800 ","$74,600 ","$41,900 ","$53,200 ","$106,000 ","$153,000 ",Business Management,Biology,Information Technology (IT),Economics,Psychology
University of Texas (UT) - Austin,TX,-97.7341,30.2849,"$49,700 ","$93,900 ","$50,100 ","$67,400 ","$129,000 ","$188,000 ",Nursing,Business Management,Biology,Marketing,Nutrition
University of Texas at Arlington (UTA),TX,-97.1121,32.7291,"$45,400 ","$80,800 ","$46,400 ","$61,200 ","$106,000 ","$138,000 ",Nursing,Criminal Justice,Biology,Psychology,Nutrition
University of Texas at El Paso (UTEP),TX,-106.5046,31.7709,"$43,400 ","$72,100 ","$37,700 ","$50,400 ","$99,500 ","$133,000 ",Psychology,Biology,Nutrition,Criminal Justice,Communications
University of Texas at San Antonio (UTSA),TX,-98.6189,29.5827,"$42,500 ","$70,700 ","$39,100 ","$49,800 ","$92,700 ","$121,000 ",Marketing,Nursing,Mechanical Engineering ,Business Management,Finance
University of Toledo,OH,-83.615936,41.6572464,"$43,100 ","$75,900 ","$40,100 ","$54,100 ","$100,000 ","$133,000 ",Mechanical Engineering,Finance,Accounting,Business Management,Chemical Engineering
University of Tulsa,OK,-95.945175,36.15188744,"$42,400 ","$88,700 ","$42,300 ","$60,300 ","$120,000 ","$197,000 ",Communications,Psychology,Economics,Business Management,Nutrition
University of Utah,UT,-111.846044,40.76248351,"$45,400 ","$83,200 ","$43,000 ","$58,400 ","$116,000 ","$148,000 ",Business Management,Psychology,Nursing,Economics,Mechanical Engineering
University of Vermont (UVM),VT,-73.198128,44.47926159,"$44,800 ","$82,700 ","$44,700 ","$58,000 ","$122,000 ","$194,000 ",Economics,Business Management,Biology,International Relations,Psychology
University of Virginia (UVA),VA,-78.511845,38.033977,"$52,700 ","$103,000 ","$52,200 ","$71,800 ","$146,000 ","$215,000 ",Psychology,Communications,Political Science,Finance,Biology
University of Washington (UW),WA,-122.310802,47.65577518,"$48,800 ","$85,300 ","$47,000 ","$59,800 ","$115,000 ","$149,000 ",Business Management,Nursing,Psychology,Marketing,Nutrition
University of Wisconsin (UW) - Eau Claire,WI,-91.500432,44.79843117,"$41,400 ","$64,800 ","$35,000 ","$47,300 ","$93,100 ","$125,000 ",Business Management,Biology,Psychology,Nursing,Education
University of Wisconsin (UW) - Green Bay,WI,-87.920499,44.53110154,"$35,800 ","$60,600 ","$35,500 ","$46,800 ","$81,800 ","$102,000 ",Biology,Nutrition,Psychology,Finance,Marketing
University of Wisconsin (UW) - La Crosse,WI,-91.230125,43.81539006,"$42,200 ","$69,300 ","$37,500 ","$47,200 ","$93,100 ","$133,000 ",Biology,Economics,Information Technology (IT),Health Care Administration,Psychology
University of Wisconsin (UW) - Madison,WI,-89.405356,43.07385753,"$48,900 ","$87,800 ","$47,400 ","$62,400 ","$118,000 ","$170,000 ",Nursing,Marketing,Finance,Communications,Psychology
University of Wisconsin (UW) - Milwaukee,WI,-87.880488,43.07684762,"$42,300 ","$74,600 ","$40,600 ","$54,000 ","$93,700 ","$123,000 ",Nursing,Education,Biology,Finance,Psychology
University of Wisconsin (UW) - Oshkosh,WI,-88.549282,44.02498538,"$39,300 ","$66,400 ","$37,700 ","$49,700 ","$90,100 ","$138,000 ",Business Management,Psychology,Criminal Justice,Communications,Nutrition
University of Wisconsin (UW) - Parkside,WI,-87.855407,42.64607382,"$40,700 ","$71,400 ","$40,900 ","$53,100 ","$84,900 ","$119,000 ",Mechanical Engineering,Business Management,Criminal Justice,Biology,Agriculture
University of Wisconsin (UW) - Platteville,WI,-90.48792,42.73423024,"$45,800 ","$78,500 ","$48,400 ","$61,200 ","$100,000 ","$139,000 ",Business Management,Biology,Forestry,Psychology,Education
University of Wisconsin (UW) - Stevens Point,WI,-89.570934,44.529582,"$39,800 ","$64,000 ","$38,400 ","$45,100 ","$95,400 ","$128,000 ",Business Management,Education,Management Information Systems (MIS),Hospitality & Tourism,Graphic Design
University of Wisconsin (UW) - Stout,WI,-91.925269,44.871765,"$43,600 ","$68,300 ","$40,900 ","$50,600 ","$91,600 ","$136,000 ",Finance,Marketing,Communications,Business Management,Accounting
