School Name,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Binghamton University,NY,-75.971143,42.088049,"$53,600 ","$95,900 ","$50,900 ","$71,200 ","$146,000 ","$201,000 ",Economics,Psychology,Biology,Accounting,Nursing
Black Hills State University,SD,-103.871756,44.49514137,"$35,300 ","$43,900 ","$27,000 ","$32,200 ","$60,900 ","$87,600 ",Business Management,Education,Biology,Sociology,Communications
Boise State University (BSU),ID,-116.205789,43.60440317,"$40,800 ","$69,500 ","$37,400 ","$48,700 ","$87,500 ","$110,000 ",Business Management,Nursing,Communications,Health Care Administration,Psychology
Boston College,MA,-71.169242,42.33620322,"$52,700 ","$103,000 ","$48,900 ","$70,000 ","$143,000 ","$195,000 ",Economics,Finance,Psychology,Communications,Biology
Boston University,MA,-71.09984,42.349581,"$49,000 ","$93,900 ","$48,000 ","$64,900 ","$130,000 ","$193,000 ",Business Management,Communications,Economics,Psychology,International Relations
Bowdoin College,ME,-69.963942,43.907134,"$48,100 ","$107,000 ",,"$74,600 ","$146,000 ",,Political Science,Economics,Math,Biology,Computer Science
Bowling Green State University,OH,-83.637531,41.377036,"$39,800 ","$72,100 ","$38,200 ","$51,800 ","$101,000 ","$146,000 ",Education,Biology,Psychology,English,Accounting
Bradley University,IL,-89.616847,40.69823294,"$47,000 ","$87,300 ","$45,900 ","$64,900 ","$113,000 ","$151,000 ",Nursing,Mechanical Engineering,Accounting,Business Management,Civil Engineering
Brigham Young University (BYU),UT,-111.6493,40.2518,"$49,400 ","$88,600 ","$50,600 ","$68,500 ","$119,000 ","$164,000 ",Psychology,Nutrition,Accounting,Economics,Education
Brown University,RI,-71.402925,41.82685309,"$56,200 ","$109,000 ","$55,400 ","$74,400 ","$159,000 ","$228,000 ",Computer Science,Economics,Biology,Math,Political Science
Bucknell University,PA,-76.885192,40.95370378,"$54,100 ","$110,000 ","$62,800 ","$80,600 ","$156,000 ","$251,000 ",Economics,Political Science,Psychology,Accounting,Biology
Cal Poly San Luis Obispo,CA,-120.661597,35.30237596,"$57,200 ","$101,000 ","$55,000 ","$74,700 ","$133,000 ","$178,000 ",Business Management,Mechanical Engineering,Biology,Civil Engineering,Computer Science 
California Institute of Technology (CIT),CA,-118.125567,34.13918094,"$75,500 ","$123,000 ",,"$104,000 ","$161,000 ",,Computer Science,Physics ,Electrical Engineering,Chemical Engineering,Mechanical Engineering 
"California State University (CSU), Chico",CA,-121.846333,39.728003,"$47,400 ","$88,100 ","$46,800 ","$62,800 ","$122,000 ","$154,000 ",Business Management,Communications,Psychology,Health Care Administration,Education
"California State University (CSU), Stanislaus",CA,-120.852511,37.52577,"$38,000 ","$71,400 ","$33,700 ","$50,500 ","$94,100 ","$121,000 ",Business Management,Psychology,Criminal Justice,Sociology,Education
"California State University, Dominguez Hills (CSUDH)",CA,-118.258948,33.86528236,"$42,700 ","$72,100 ","$30,800 ","$47,000 ","$92,200 ","$132,000 ",Business Management,Psychology,Sociology,Criminal Justice,Health Care Administration
"California State University, East Bay (CSUEB)",CA,-122.058073,37.65707038,"$49,200 ","$84,300 ","$46,000 ","$62,400 ","$115,000 ","$155,000 ",Business Management,Health Care Administration,Criminal Justice,Psychology,Sociology
"California State University, Fullerton (CSUF)",CA,-117.885659,33.88326053,"$45,700 ","$87,000 ","$45,400 ","$62,500 ","$119,000 ","$158,000 ",Business Management,Communications,Psychology,Health Care Administration,Education
